"id_tester","id_item","Temps_Z1","Temps_Z2","Temps_Z3","Temps_Z4","Temps_Z5","tps_tot"
"131ecf76-b806-4557-b2c0-183a418357ba","34359006-f70f-438e-85d0-420cf2fe6944",801,434,265,0,494,1994
"9560482a-f0a3-4f68-a311-03d22aedbd05","34359006-f70f-438e-85d0-420cf2fe6944",2721,1708,1005,1560,3246,10240
"10e732f6-9a6a-474a-82e2-a4060fc8dffe","34359006-f70f-438e-85d0-420cf2fe6944",5646,4317,4932,611,752,16258
"646465ef-0ad6-44cc-bd31-de24e1487943","34359006-f70f-438e-85d0-420cf2fe6944",1622,1303,2789,1978,3403,11095
"aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","34359006-f70f-438e-85d0-420cf2fe6944",2885,1626,840,2033,3854,11238
"9610f0dd-ff9f-4bd4-b311-459a04f965ca","34359006-f70f-438e-85d0-420cf2fe6944",2228,672,623,1108,2010,6641
"df6523cd-3270-4298-8d6f-00aa8e9455e6","34359006-f70f-438e-85d0-420cf2fe6944",962,353,379,6677,4159,12530
"54c68134-2c2a-4f2e-974b-32310830af0e","34359006-f70f-438e-85d0-420cf2fe6944",5509,4118,350,549,1092,11618
"055d198c-f8b0-47b7-9eb3-94fc57808f93","34359006-f70f-438e-85d0-420cf2fe6944",1694,3403,2456,0,1006,8559
"cea293cd-b0b1-40ea-8e71-756b3956e8ad","34359006-f70f-438e-85d0-420cf2fe6944",0,3352,5085,0,375,8812
"de86783a-ac86-419a-a230-dad6b421fba4","34359006-f70f-438e-85d0-420cf2fe6944",3576,1056,1035,254,960,6881
"919c7921-7cef-4620-a2fe-766180ed2fbb","34359006-f70f-438e-85d0-420cf2fe6944",1299,2176,1570,1198,1976,8219
"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","34359006-f70f-438e-85d0-420cf2fe6944",1203,78,1358,1426,2141,6206
"06026e76-f9a4-4fb9-877d-bcd33373cdab","34359006-f70f-438e-85d0-420cf2fe6944",3976,8080,3880,588,2364,18888
"27e050a3-45e8-4076-9c25-32be9040da4e","34359006-f70f-438e-85d0-420cf2fe6944",3721,1810,0,1153,2054,8738
"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","34359006-f70f-438e-85d0-420cf2fe6944",1226,1680,439,1292,1966,6603
"398e712a-fae6-451d-83c9-a7e500227e62","34359006-f70f-438e-85d0-420cf2fe6944",432,497,74,176,0,1179
"65681129-f83c-4293-9ce3-9d1429367fd0","34359006-f70f-438e-85d0-420cf2fe6944",99,3170,5341,1342,6744,16696
"035a43cf-cf88-4675-85e7-11eeb0b3641c","34359006-f70f-438e-85d0-420cf2fe6944",9675,6324,2017,4933,3972,26921
"aaf1dbcb-3748-4740-a2e0-58e7c1cb9f78","34359006-f70f-438e-85d0-420cf2fe6944",1210,536,781,998,1657,5182
"bf743fbf-9be2-49a1-bf7e-0b53276e6529","34359006-f70f-438e-85d0-420cf2fe6944",1377,1404,0,499,2108,5388
"cd0a0a46-7676-4bf0-ad03-2e83bd565fee","34359006-f70f-438e-85d0-420cf2fe6944",1149,1284,0,821,1265,4519
"9577727a-fa45-4185-9778-4a56a41cf0f6","34359006-f70f-438e-85d0-420cf2fe6944",1821,1639,1122,0,0,4582
"073891b7-a928-4ff0-83e3-56f4d1a6315e","34359006-f70f-438e-85d0-420cf2fe6944",2651,2739,221,1867,395,7873
"cc933e0b-091f-4ef4-bfc8-11f2076d4396","34359006-f70f-438e-85d0-420cf2fe6944",71,474,392,7563,2313,10813
"4ed0a862-3163-449b-bb48-ca8b9ce3add0","34359006-f70f-438e-85d0-420cf2fe6944",3895,8406,1868,1126,3834,19129
"473d2e90-02dd-483e-ad19-3966ec20050a","34359006-f70f-438e-85d0-420cf2fe6944",457,1507,1332,378,281,3955
"03964ff9-d24f-4a0a-a492-3a177e16eb11","34359006-f70f-438e-85d0-420cf2fe6944",1695,1767,935,637,1047,6081
"e87291fb-8da5-4c7a-af30-4413737f2401","34359006-f70f-438e-85d0-420cf2fe6944",2011,1412,461,1158,679,5721
"915ec45f-204b-411d-8ed7-7fdecb385e39","34359006-f70f-438e-85d0-420cf2fe6944",3670,7523,3481,5621,6160,26455
"131ecf76-b806-4557-b2c0-183a418357ba","20f3c152-6ebf-49db-8e1a-00eebd99feb6",0,0,2262,5168,1834,9264
"9560482a-f0a3-4f68-a311-03d22aedbd05","20f3c152-6ebf-49db-8e1a-00eebd99feb6",2240,1604,1589,1540,809,7782
"10e732f6-9a6a-474a-82e2-a4060fc8dffe","20f3c152-6ebf-49db-8e1a-00eebd99feb6",185,260,3693,3559,2305,10002
"646465ef-0ad6-44cc-bd31-de24e1487943","20f3c152-6ebf-49db-8e1a-00eebd99feb6",3514,1789,2573,2065,2306,12247
"aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","20f3c152-6ebf-49db-8e1a-00eebd99feb6",5600,5322,2767,4680,2121,20490
"9610f0dd-ff9f-4bd4-b311-459a04f965ca","20f3c152-6ebf-49db-8e1a-00eebd99feb6",921,1963,1626,4046,2595,11151
"df6523cd-3270-4298-8d6f-00aa8e9455e6","20f3c152-6ebf-49db-8e1a-00eebd99feb6",6928,8148,507,1014,2694,19291
"54c68134-2c2a-4f2e-974b-32310830af0e","20f3c152-6ebf-49db-8e1a-00eebd99feb6",1092,1104,1376,5395,4783,13750
"055d198c-f8b0-47b7-9eb3-94fc57808f93","20f3c152-6ebf-49db-8e1a-00eebd99feb6",2122,1758,2659,1430,956,8925
"cea293cd-b0b1-40ea-8e71-756b3956e8ad","20f3c152-6ebf-49db-8e1a-00eebd99feb6",109,0,1500,2890,0,4499
"de86783a-ac86-419a-a230-dad6b421fba4","20f3c152-6ebf-49db-8e1a-00eebd99feb6",6290,6501,3857,3434,2094,22176
"919c7921-7cef-4620-a2fe-766180ed2fbb","20f3c152-6ebf-49db-8e1a-00eebd99feb6",1492,1802,514,2260,743,6811
"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","20f3c152-6ebf-49db-8e1a-00eebd99feb6",1149,1369,1453,1070,1101,6142
"06026e76-f9a4-4fb9-877d-bcd33373cdab","20f3c152-6ebf-49db-8e1a-00eebd99feb6",249,394,2852,3553,2907,9955
"27e050a3-45e8-4076-9c25-32be9040da4e","20f3c152-6ebf-49db-8e1a-00eebd99feb6",1039,0,0,1109,1700,3848
"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","20f3c152-6ebf-49db-8e1a-00eebd99feb6",1724,303,3018,1872,754,7671
"398e712a-fae6-451d-83c9-a7e500227e62","20f3c152-6ebf-49db-8e1a-00eebd99feb6",2745,1213,237,1122,0,5317
"65681129-f83c-4293-9ce3-9d1429367fd0","20f3c152-6ebf-49db-8e1a-00eebd99feb6",5403,4231,591,972,0,11197
"035a43cf-cf88-4675-85e7-11eeb0b3641c","20f3c152-6ebf-49db-8e1a-00eebd99feb6",1807,2368,3058,2825,1689,11747
"aaf1dbcb-3748-4740-a2e0-58e7c1cb9f78","20f3c152-6ebf-49db-8e1a-00eebd99feb6",3119,1948,1708,910,1717,9402
"bf743fbf-9be2-49a1-bf7e-0b53276e6529","20f3c152-6ebf-49db-8e1a-00eebd99feb6",2684,463,170,1390,1084,5791
"cd0a0a46-7676-4bf0-ad03-2e83bd565fee","20f3c152-6ebf-49db-8e1a-00eebd99feb6",1888,1190,319,7900,6117,17414
"9577727a-fa45-4185-9778-4a56a41cf0f6","20f3c152-6ebf-49db-8e1a-00eebd99feb6",1812,1307,2627,5194,4391,15331
"073891b7-a928-4ff0-83e3-56f4d1a6315e","20f3c152-6ebf-49db-8e1a-00eebd99feb6",2722,2907,495,2651,2841,11616
"cc933e0b-091f-4ef4-bfc8-11f2076d4396","20f3c152-6ebf-49db-8e1a-00eebd99feb6",2587,903,2716,1940,405,8551
"4ed0a862-3163-449b-bb48-ca8b9ce3add0","20f3c152-6ebf-49db-8e1a-00eebd99feb6",1077,1461,5893,4417,4019,16867
"473d2e90-02dd-483e-ad19-3966ec20050a","20f3c152-6ebf-49db-8e1a-00eebd99feb6",1307,1885,1856,3606,1723,10377
"03964ff9-d24f-4a0a-a492-3a177e16eb11","20f3c152-6ebf-49db-8e1a-00eebd99feb6",565,1334,2327,1624,2537,8387
"e87291fb-8da5-4c7a-af30-4413737f2401","20f3c152-6ebf-49db-8e1a-00eebd99feb6",0,0,2992,734,545,4271
"915ec45f-204b-411d-8ed7-7fdecb385e39","20f3c152-6ebf-49db-8e1a-00eebd99feb6",5353,2872,6144,7091,2524,23984
"131ecf76-b806-4557-b2c0-183a418357ba","213479f7-39af-4b83-b0e9-4ba473d27429",0,0,0,1738,3590,5328
"9560482a-f0a3-4f68-a311-03d22aedbd05","213479f7-39af-4b83-b0e9-4ba473d27429",376,953,2625,1399,971,6324
"10e732f6-9a6a-474a-82e2-a4060fc8dffe","213479f7-39af-4b83-b0e9-4ba473d27429",0,0,0,1479,6069,7548
"646465ef-0ad6-44cc-bd31-de24e1487943","213479f7-39af-4b83-b0e9-4ba473d27429",3751,6146,4764,3806,6609,25076
"aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","213479f7-39af-4b83-b0e9-4ba473d27429",1525,2520,3599,1189,3994,12827
"9610f0dd-ff9f-4bd4-b311-459a04f965ca","213479f7-39af-4b83-b0e9-4ba473d27429",564,263,827,1085,2431,5170
"df6523cd-3270-4298-8d6f-00aa8e9455e6","213479f7-39af-4b83-b0e9-4ba473d27429",2558,5428,6145,3141,8314,25586
"54c68134-2c2a-4f2e-974b-32310830af0e","213479f7-39af-4b83-b0e9-4ba473d27429",0,0,29,1564,6265,7858
"055d198c-f8b0-47b7-9eb3-94fc57808f93","213479f7-39af-4b83-b0e9-4ba473d27429",1452,1202,1930,1595,3007,9186
"cea293cd-b0b1-40ea-8e71-756b3956e8ad","213479f7-39af-4b83-b0e9-4ba473d27429",0,0,0,3093,1309,4402
"de86783a-ac86-419a-a230-dad6b421fba4","213479f7-39af-4b83-b0e9-4ba473d27429",629,2444,2081,1603,1428,8185
"919c7921-7cef-4620-a2fe-766180ed2fbb","213479f7-39af-4b83-b0e9-4ba473d27429",811,1159,1351,3297,5271,11889
"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","213479f7-39af-4b83-b0e9-4ba473d27429",755,1668,1647,1522,2060,7652
"06026e76-f9a4-4fb9-877d-bcd33373cdab","213479f7-39af-4b83-b0e9-4ba473d27429",415,66,79,3006,3267,6833
"27e050a3-45e8-4076-9c25-32be9040da4e","213479f7-39af-4b83-b0e9-4ba473d27429",186,2889,2707,0,5424,11206
"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","213479f7-39af-4b83-b0e9-4ba473d27429",1449,2648,1677,2950,5634,14358
"398e712a-fae6-451d-83c9-a7e500227e62","213479f7-39af-4b83-b0e9-4ba473d27429",796,2154,831,715,2593,7089
"65681129-f83c-4293-9ce3-9d1429367fd0","213479f7-39af-4b83-b0e9-4ba473d27429",125,1166,223,2005,1877,5396
"035a43cf-cf88-4675-85e7-11eeb0b3641c","213479f7-39af-4b83-b0e9-4ba473d27429",3204,2660,3785,2099,5570,17318
"aaf1dbcb-3748-4740-a2e0-58e7c1cb9f78","213479f7-39af-4b83-b0e9-4ba473d27429",726,1695,3270,1993,3523,11207
"bf743fbf-9be2-49a1-bf7e-0b53276e6529","213479f7-39af-4b83-b0e9-4ba473d27429",421,1413,1030,612,3947,7423
"cd0a0a46-7676-4bf0-ad03-2e83bd565fee","213479f7-39af-4b83-b0e9-4ba473d27429",0,0,0,1054,6246,7300
"9577727a-fa45-4185-9778-4a56a41cf0f6","213479f7-39af-4b83-b0e9-4ba473d27429",0,845,1078,168,4554,6645
"073891b7-a928-4ff0-83e3-56f4d1a6315e","213479f7-39af-4b83-b0e9-4ba473d27429",0,1548,1089,0,4948,7585
"cc933e0b-091f-4ef4-bfc8-11f2076d4396","213479f7-39af-4b83-b0e9-4ba473d27429",778,3245,2977,790,6013,13803
"4ed0a862-3163-449b-bb48-ca8b9ce3add0","213479f7-39af-4b83-b0e9-4ba473d27429",214,775,1263,2159,4636,9047
"473d2e90-02dd-483e-ad19-3966ec20050a","213479f7-39af-4b83-b0e9-4ba473d27429",377,1643,1386,1053,2931,7390
"03964ff9-d24f-4a0a-a492-3a177e16eb11","213479f7-39af-4b83-b0e9-4ba473d27429",491,0,0,1178,2402,4071
"e87291fb-8da5-4c7a-af30-4413737f2401","213479f7-39af-4b83-b0e9-4ba473d27429",0,0,0,938,2094,3032
"915ec45f-204b-411d-8ed7-7fdecb385e39","213479f7-39af-4b83-b0e9-4ba473d27429",2246,6791,4055,5065,8039,26196
"131ecf76-b806-4557-b2c0-183a418357ba","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",0,0,0,4755,617,5372
"9560482a-f0a3-4f68-a311-03d22aedbd05","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",1036,903,1013,1487,1492,5931
"10e732f6-9a6a-474a-82e2-a4060fc8dffe","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",0,225,0,4118,1687,6030
"646465ef-0ad6-44cc-bd31-de24e1487943","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",7320,13543,315,1608,1398,24184
"aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",972,2528,3608,5460,1503,14071
"9610f0dd-ff9f-4bd4-b311-459a04f965ca","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",0,171,0,3166,890,4227
"df6523cd-3270-4298-8d6f-00aa8e9455e6","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",992,1939,5001,2301,665,10898
"54c68134-2c2a-4f2e-974b-32310830af0e","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",0,0,206,2747,107,3060
"055d198c-f8b0-47b7-9eb3-94fc57808f93","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",2867,4100,2882,4245,1442,15536
"cea293cd-b0b1-40ea-8e71-756b3956e8ad","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",0,0,0,1108,587,1695
"de86783a-ac86-419a-a230-dad6b421fba4","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",1136,1459,805,5754,1259,10413
"919c7921-7cef-4620-a2fe-766180ed2fbb","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",1261,1389,0,3542,4284,10476
"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",1472,1361,526,1699,563,5621
"06026e76-f9a4-4fb9-877d-bcd33373cdab","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",0,0,0,1399,81,1480
"27e050a3-45e8-4076-9c25-32be9040da4e","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",0,811,1892,3818,0,6521
"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",4584,4335,3227,6409,4092,22647
"398e712a-fae6-451d-83c9-a7e500227e62","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",434,1350,685,420,0,2889
"65681129-f83c-4293-9ce3-9d1429367fd0","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",3152,3136,3590,3497,1216,14591
"035a43cf-cf88-4675-85e7-11eeb0b3641c","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",286,1535,379,2514,1238,5952
"aaf1dbcb-3748-4740-a2e0-58e7c1cb9f78","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",1772,2528,1187,5031,1646,12164
"bf743fbf-9be2-49a1-bf7e-0b53276e6529","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",0,1006,3093,4420,246,8765
"cd0a0a46-7676-4bf0-ad03-2e83bd565fee","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",0,2463,2557,3743,291,9054
"9577727a-fa45-4185-9778-4a56a41cf0f6","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",0,1202,0,6499,0,7701
"073891b7-a928-4ff0-83e3-56f4d1a6315e","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",0,511,126,6979,752,8368
"cc933e0b-091f-4ef4-bfc8-11f2076d4396","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",108,4327,5758,2055,247,12495
"4ed0a862-3163-449b-bb48-ca8b9ce3add0","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",0,535,506,5926,163,7130
"473d2e90-02dd-483e-ad19-3966ec20050a","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",213,155,407,1931,343,3049
"03964ff9-d24f-4a0a-a492-3a177e16eb11","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",573,274,0,3721,1387,5955
"e87291fb-8da5-4c7a-af30-4413737f2401","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",419,289,0,1668,1257,3633
"915ec45f-204b-411d-8ed7-7fdecb385e39","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",836,3685,5169,9545,2361,21596
"131ecf76-b806-4557-b2c0-183a418357ba","cc2a8b56-732c-4e4c-a058-248783b68587",0,0,0,2780,772,3552
"9560482a-f0a3-4f68-a311-03d22aedbd05","cc2a8b56-732c-4e4c-a058-248783b68587",1288,360,709,681,530,3568
"10e732f6-9a6a-474a-82e2-a4060fc8dffe","cc2a8b56-732c-4e4c-a058-248783b68587",0,0,0,2848,4457,7305
"646465ef-0ad6-44cc-bd31-de24e1487943","cc2a8b56-732c-4e4c-a058-248783b68587",4356,8074,3075,1773,8023,25301
"aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","cc2a8b56-732c-4e4c-a058-248783b68587",2086,1991,1901,2819,4090,12887
"9610f0dd-ff9f-4bd4-b311-459a04f965ca","cc2a8b56-732c-4e4c-a058-248783b68587",913,1006,686,2942,3928,9475
"df6523cd-3270-4298-8d6f-00aa8e9455e6","cc2a8b56-732c-4e4c-a058-248783b68587",0,1772,7522,1609,4650,15553
"54c68134-2c2a-4f2e-974b-32310830af0e","cc2a8b56-732c-4e4c-a058-248783b68587",0,507,2143,5106,11929,19685
"055d198c-f8b0-47b7-9eb3-94fc57808f93","cc2a8b56-732c-4e4c-a058-248783b68587",1713,1300,1645,347,3538,8543
"cea293cd-b0b1-40ea-8e71-756b3956e8ad","cc2a8b56-732c-4e4c-a058-248783b68587",0,0,0,393,705,1098
"de86783a-ac86-419a-a230-dad6b421fba4","cc2a8b56-732c-4e4c-a058-248783b68587",677,1533,1759,3020,3272,10261
"919c7921-7cef-4620-a2fe-766180ed2fbb","cc2a8b56-732c-4e4c-a058-248783b68587",2176,1631,2644,2952,4750,14153
"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","cc2a8b56-732c-4e4c-a058-248783b68587",656,94,289,0,1559,2598
"06026e76-f9a4-4fb9-877d-bcd33373cdab","cc2a8b56-732c-4e4c-a058-248783b68587",265,178,256,1333,1920,3952
