"id_tester","id_item","pays","num_stimulus","rep_Z1","rep_Z2","rep_Z3","rep_Z4","rep_Z5","fix_tot","Temps_Z1","Temps_Z2","Temps_Z3","Temps_Z4","Temps_Z5","tps_tot"
"199d1269-1d8a-420a-a986-1f4f2ab4355f","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,7,1,1,4,16,2929,4762,199,661,1825,10376
"fd0537e8-3103-47f8-9998-44570bb8a45e","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,14,15,6,11,13,59,2807,2933,1243,3339,8623,18945
"e433aa11-cdb7-4733-88a9-7067cf52299b","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,21,8,4,23,16,72,5169,1401,1043,8543,6961,23117
"149c1889-4e83-4153-b763-54fb60e60d99","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,22,19,4,5,6,56,8734,5803,1142,1617,1894,19190
"14229a71-f44e-4149-9f3c-aa7415691eae","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,2,8,2,3,7,22,546,1573,1280,1729,2647,7775
"a724528f-7fe6-4ad6-bba1-21cb02db2af5","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,19,14,2,11,12,58,4814,5896,712,5884,8989,26295
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,2,1,0,4,2,9,887,140,0,984,1010,3021
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,10,3,6,9,34,1522,3127,580,2494,2803,10526
"c464d108-c77f-41e7-bcbc-d5855c9a7968","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,13,12,11,7,11,54,6834,2847,2152,1826,9656,23315
"b20e7a20-ca68-410c-8214-fbb92bfdfe17","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,6,8,1,3,21,800,1908,2306,99,939,6052
"131f7620-d15d-4560-86ab-564145745b9b","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,5,10,4,5,9,33,2361,2400,1693,1573,5580,13607
"131ecf76-b806-4557-b2c0-183a418357ba","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,2,1,1,1,2,7,604,409,34,182,903,2132
"9560482a-f0a3-4f68-a311-03d22aedbd05","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,5,3,6,7,27,2721,1708,1005,1560,3246,10240
"10e732f6-9a6a-474a-82e2-a4060fc8dffe","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,7,9,3,6,10,35,3347,2672,1823,6404,8427,22673
"646465ef-0ad6-44cc-bd31-de24e1487943","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,8,6,5,8,33,1622,1303,2789,1978,3403,11095
"aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,12,8,3,6,6,35,2885,1626,840,2033,3854,11238
"9610f0dd-ff9f-4bd4-b311-459a04f965ca","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,5,2,3,4,20,2228,672,623,1108,2010,6641
"df6523cd-3270-4298-8d6f-00aa8e9455e6","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,9,6,9,11,41,1544,2556,1852,4229,4856,15037
"54c68134-2c2a-4f2e-974b-32310830af0e","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,8,8,4,8,8,36,3391,2197,601,2106,4864,13159
"055d198c-f8b0-47b7-9eb3-94fc57808f93","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,17,10,0,2,35,1694,3403,2456,0,1006,8559
"cea293cd-b0b1-40ea-8e71-756b3956e8ad","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,11,3,6,9,35,2734,5215,951,2457,3896,15253
"de86783a-ac86-419a-a230-dad6b421fba4","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,5,4,4,5,21,2001,942,712,1527,2564,7746
"919c7921-7cef-4620-a2fe-766180ed2fbb","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,5,7,5,4,6,27,1299,2176,1570,1198,1976,8219
"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,1,5,5,7,21,1203,78,1358,1426,2141,6206
"06026e76-f9a4-4fb9-877d-bcd33373cdab","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,15,25,10,13,15,78,3405,7933,2383,3216,6750,23687
"27e050a3-45e8-4076-9c25-32be9040da4e","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,7,0,4,5,19,1678,3690,0,2061,4329,11758
"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,2,5,2,5,5,19,422,2180,266,2258,2367,7493
"398e712a-fae6-451d-83c9-a7e500227e62","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,2,3,1,2,1,9,432,497,74,176,0,1179
"65681129-f83c-4293-9ce3-9d1429367fd0","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,12,5,12,14,49,1975,3164,2958,3889,4514,16500
"035a43cf-cf88-4675-85e7-11eeb0b3641c","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,19,14,7,9,8,57,9675,6324,2017,4933,3972,26921
"aaf1dbcb-3748-4740-a2e0-58e7c1cb9f78","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,5,5,2,3,2,17,1210,536,781,998,1657,5182
"bf743fbf-9be2-49a1-bf7e-0b53276e6529","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,3,3,2,3,14,1200,595,1260,368,2387,5810
"cd0a0a46-7676-4bf0-ad03-2e83bd565fee","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,4,0,3,3,13,1149,1284,0,821,1265,4519
"9577727a-fa45-4185-9778-4a56a41cf0f6","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,2,2,1,2,3,10,419,821,331,1152,2008,4731
"073891b7-a928-4ff0-83e3-56f4d1a6315e","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,8,4,2,4,21,712,3650,1134,998,2852,9346
"cc933e0b-091f-4ef4-bfc8-11f2076d4396","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,7,13,5,11,6,42,1492,3314,433,4506,2172,11917
"4ed0a862-3163-449b-bb48-ca8b9ce3add0","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,15,21,5,6,11,58,3895,8406,1868,1126,3834,19129
"473d2e90-02dd-483e-ad19-3966ec20050a","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,4,3,2,4,16,1264,1106,615,634,2194,5813
"03964ff9-d24f-4a0a-a492-3a177e16eb11","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,5,2,4,5,19,1844,1599,360,1405,1732,6940
"e87291fb-8da5-4c7a-af30-4413737f2401","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,5,7,2,2,4,20,2011,1412,461,1158,679,5721
"915ec45f-204b-411d-8ed7-7fdecb385e39","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,14,19,7,9,11,60,3670,7523,3481,5621,6160,26455
"199d1269-1d8a-420a-a986-1f4f2ab4355f","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,6,5,6,8,4,29,4101,2418,1791,5419,1584,15313
"fd0537e8-3103-47f8-9998-44570bb8a45e","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,7,3,9,10,11,40,2261,1606,2100,1858,5334,13159
"e433aa11-cdb7-4733-88a9-7067cf52299b","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,5,4,13,11,6,39,1191,659,5311,3041,2241,12443
"149c1889-4e83-4153-b763-54fb60e60d99","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,17,5,19,13,4,58,7933,2229,11980,4146,868,27156
"14229a71-f44e-4149-9f3c-aa7415691eae","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,2,1,2,2,2,9,1635,500,375,1163,609,4282
"a724528f-7fe6-4ad6-bba1-21cb02db2af5","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,8,5,11,15,9,48,3289,3196,3653,3709,5139,18986
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,5,2,2,5,2,16,1828,674,869,1482,563,5416
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,8,4,7,7,5,31,3185,2492,1731,1414,1289,10111
"c464d108-c77f-41e7-bcbc-d5855c9a7968","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,15,7,18,25,17,82,6392,2212,5862,4635,6469,25570
"b20e7a20-ca68-410c-8214-fbb92bfdfe17","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,3,3,1,1,2,10,1104,1412,428,562,247,3753
"131f7620-d15d-4560-86ab-564145745b9b","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,13,12,4,9,15,53,3474,6131,2010,2059,5521,19195
"131ecf76-b806-4557-b2c0-183a418357ba","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,5,1,3,8,5,22,4236,657,1831,3814,1652,12190
"9560482a-f0a3-4f68-a311-03d22aedbd05","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,6,3,7,7,4,27,2240,1604,1589,1540,809,7782
"10e732f6-9a6a-474a-82e2-a4060fc8dffe","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,7,4,10,13,8,42,5106,1614,2071,3669,4541,17001
"646465ef-0ad6-44cc-bd31-de24e1487943","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,9,5,7,6,8,35,3514,1789,2573,2065,2306,12247
"aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,13,9,10,12,7,51,5503,4724,4480,4769,1878,21354
"9610f0dd-ff9f-4bd4-b311-459a04f965ca","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,9,6,8,13,10,46,2560,2983,2445,4027,3432,15447
"df6523cd-3270-4298-8d6f-00aa8e9455e6","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,15,14,8,7,9,53,7180,5514,2211,2263,3854,21022
"54c68134-2c2a-4f2e-974b-32310830af0e","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,6,9,4,9,12,40,4426,2981,2960,3497,4565,18429
"055d198c-f8b0-47b7-9eb3-94fc57808f93","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,5,4,7,8,4,28,2122,1758,2659,1430,956,8925
"cea293cd-b0b1-40ea-8e71-756b3956e8ad","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,9,8,4,12,10,43,2351,2895,1365,10650,4768,22029
"de86783a-ac86-419a-a230-dad6b421fba4","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,10,10,9,11,8,48,6290,6501,3857,3434,2094,22176
"919c7921-7cef-4620-a2fe-766180ed2fbb","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,3,3,2,6,3,17,1492,1802,514,2260,743,6811
"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,4,4,4,6,4,22,1149,1369,1453,1070,1101,6142
"06026e76-f9a4-4fb9-877d-bcd33373cdab","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,6,3,9,14,6,38,1718,2188,5388,4267,2016,15577
"27e050a3-45e8-4076-9c25-32be9040da4e","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,1,0,0,3,2,6,1028,0,0,1139,3069,5236
"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,11,9,3,7,3,33,3252,4040,1512,1762,805,11371
"398e712a-fae6-451d-83c9-a7e500227e62","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,5,3,1,2,0,11,2745,1213,237,1122,0,5317
"65681129-f83c-4293-9ce3-9d1429367fd0","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,19,11,3,4,0,37,5662,8243,793,1168,0,15866
"035a43cf-cf88-4675-85e7-11eeb0b3641c","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,6,8,10,11,6,41,1807,2368,3058,2825,1689,11747
"aaf1dbcb-3748-4740-a2e0-58e7c1cb9f78","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,5,6,7,6,10,34,3119,1948,1708,910,1717,9402
"bf743fbf-9be2-49a1-bf7e-0b53276e6529","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,3,2,1,6,5,17,2684,463,170,1390,1084,5791
"cd0a0a46-7676-4bf0-ad03-2e83bd565fee","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,5,5,9,13,4,36,2956,1981,3510,8816,1578,18841
"9577727a-fa45-4185-9778-4a56a41cf0f6","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,9,7,4,6,7,33,4843,4346,907,3381,2648,16125
"073891b7-a928-4ff0-83e3-56f4d1a6315e","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,6,5,2,5,5,23,3742,3670,446,2245,1616,11719
"cc933e0b-091f-4ef4-bfc8-11f2076d4396","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,8,3,9,9,2,31,2587,903,2716,1940,405,8551
"4ed0a862-3163-449b-bb48-ca8b9ce3add0","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,12,8,16,21,11,68,3961,2630,4942,5536,4317,21386
"473d2e90-02dd-483e-ad19-3966ec20050a","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,7,7,3,7,8,32,3781,2268,830,2219,2154,11252
"03964ff9-d24f-4a0a-a492-3a177e16eb11","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,5,4,3,7,3,22,2521,3278,1189,1575,813,9376
"e87291fb-8da5-4c7a-af30-4413737f2401","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,4,2,1,2,0,9,3360,884,349,668,0,5261
"915ec45f-204b-411d-8ed7-7fdecb385e39","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,13,6,16,16,5,56,5353,2872,6144,7091,2524,23984
"199d1269-1d8a-420a-a986-1f4f2ab4355f","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,1,6,4,4,12,27,241,3633,2757,3603,4858,15092
"fd0537e8-3103-47f8-9998-44570bb8a45e","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,6,10,5,23,18,62,1605,3509,3337,7009,8177,23637
"e433aa11-cdb7-4733-88a9-7067cf52299b","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,5,6,3,7,15,36,380,1523,1135,2742,6575,12355
"149c1889-4e83-4153-b763-54fb60e60d99","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,1,5,5,3,6,20,97,2205,1439,981,4704,9426
"14229a71-f44e-4149-9f3c-aa7415691eae","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,2,6,6,4,7,25,463,2672,2722,1494,4839,12190
"a724528f-7fe6-4ad6-bba1-21cb02db2af5","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,3,5,4,14,19,45,2348,720,1456,6408,9665,20597
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,3,4,2,3,3,15,995,802,692,441,1324,4254
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,1,3,2,1,5,12,348,691,1246,269,1062,3616
"c464d108-c77f-41e7-bcbc-d5855c9a7968","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,3,7,3,5,5,23,856,1074,1326,1050,1794,6100
"b20e7a20-ca68-410c-8214-fbb92bfdfe17","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,4,11,10,9,14,48,1332,3937,2787,1939,3640,13635
"131f7620-d15d-4560-86ab-564145745b9b","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,1,4,2,3,6,16,328,1483,1665,1325,4319,9120
"131ecf76-b806-4557-b2c0-183a418357ba","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,2,2,2,5,7,18,417,981,609,747,2798,5552
"9560482a-f0a3-4f68-a311-03d22aedbd05","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,1,4,7,2,3,17,376,953,2625,1399,971,6324
"10e732f6-9a6a-474a-82e2-a4060fc8dffe","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,3,3,8,2,13,29,1097,653,4496,484,9282,16012
"646465ef-0ad6-44cc-bd31-de24e1487943","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,7,17,14,10,13,61,3751,6146,4764,3806,6609,25076
"aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,5,6,5,6,11,33,1189,3105,2932,2239,4001,13466
"9610f0dd-ff9f-4bd4-b311-459a04f965ca","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,3,7,3,5,7,25,616,1275,926,1400,2018,6235
"df6523cd-3270-4298-8d6f-00aa8e9455e6","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,6,17,16,10,18,67,2558,5428,6145,3141,8314,25586
"54c68134-2c2a-4f2e-974b-32310830af0e","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,2,4,6,7,9,28,477,1153,1130,1684,5131,9575
"055d198c-f8b0-47b7-9eb3-94fc57808f93","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,6,6,5,3,5,25,1452,1202,1930,1595,3007,9186
"cea293cd-b0b1-40ea-8e71-756b3956e8ad","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,3,11,6,5,8,33,1144,2631,1764,2129,8024,15692
"de86783a-ac86-419a-a230-dad6b421fba4","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,3,7,4,2,4,20,629,2444,2081,1603,1428,8185
"919c7921-7cef-4620-a2fe-766180ed2fbb","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,5,6,4,10,12,37,811,1159,1351,3297,5271,11889
"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,4,7,5,6,6,28,755,1668,1647,1522,2060,7652
"06026e76-f9a4-4fb9-877d-bcd33373cdab","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,4,8,3,11,13,39,1009,1836,1016,7809,7104,18774
"27e050a3-45e8-4076-9c25-32be9040da4e","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,1,4,5,1,7,18,374,3658,1451,154,6158,11795
"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,3,8,3,7,11,32,1449,2648,1677,2950,5634,14358
"398e712a-fae6-451d-83c9-a7e500227e62","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,4,7,3,2,6,22,796,2154,831,715,2593,7089
"65681129-f83c-4293-9ce3-9d1429367fd0","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,2,7,6,5,3,23,440,1484,1575,1917,827,6243
"035a43cf-cf88-4675-85e7-11eeb0b3641c","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,5,7,7,6,9,34,3204,2660,3785,2099,5570,17318
"aaf1dbcb-3748-4740-a2e0-58e7c1cb9f78","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,2,7,6,5,7,27,726,1695,3270,1993,3523,11207
"bf743fbf-9be2-49a1-bf7e-0b53276e6529","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,1,6,4,3,7,21,421,1413,1030,612,3947,7423
"cd0a0a46-7676-4bf0-ad03-2e83bd565fee","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,1,6,6,1,7,21,81,2560,2231,350,4150,9372
"9577727a-fa45-4185-9778-4a56a41cf0f6","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,2,6,3,1,4,16,741,2720,835,513,3668,8477
"073891b7-a928-4ff0-83e3-56f4d1a6315e","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,1,3,1,4,4,13,1199,792,252,1385,3853,7481
"cc933e0b-091f-4ef4-bfc8-11f2076d4396","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,3,7,5,5,8,28,778,3245,2977,790,6013,13803
"4ed0a862-3163-449b-bb48-ca8b9ce3add0","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,1,4,5,4,7,21,214,775,1263,2159,4636,9047
"473d2e90-02dd-483e-ad19-3966ec20050a","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,3,4,2,3,6,18,377,1643,1386,1053,2931,7390
"03964ff9-d24f-4a0a-a492-3a177e16eb11","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,3,2,1,2,4,12,1331,1121,189,468,2170,5279
"e87291fb-8da5-4c7a-af30-4413737f2401","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,2,2,1,3,2,10,257,613,381,865,1257,3373
"915ec45f-204b-411d-8ed7-7fdecb385e39","213479f7-39af-4b83-b0e9-4ba473d27429","Spain",756,7,15,7,14,15,58,2246,6791,4055,5065,8039,26196
"199d1269-1d8a-420a-a986-1f4f2ab4355f","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,2,3,3,5,0,13,567,1916,701,3838,0,7022
"fd0537e8-3103-47f8-9998-44570bb8a45e","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,0,1,0,4,1,6,0,282,0,1042,142,1466
"e433aa11-cdb7-4733-88a9-7067cf52299b","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,4,3,2,12,6,27,2085,764,358,6642,988,10837
"149c1889-4e83-4153-b763-54fb60e60d99","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,5,8,5,12,6,36,1310,3557,1036,8031,1410,15344
"14229a71-f44e-4149-9f3c-aa7415691eae","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,6,9,5,8,4,32,3056,3311,2439,3698,241,12745
"a724528f-7fe6-4ad6-bba1-21cb02db2af5","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,6,12,5,15,6,44,1080,2556,2381,9594,1653,17264
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,2,2,3,3,1,11,914,84,911,1495,697,4101
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,5,8,2,10,6,31,1095,2563,473,3084,1195,8410
"c464d108-c77f-41e7-bcbc-d5855c9a7968","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,3,10,6,8,4,31,724,1976,2902,3842,1620,11064
"b20e7a20-ca68-410c-8214-fbb92bfdfe17","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,2,3,2,4,6,17,516,190,811,1846,476,3839
"131f7620-d15d-4560-86ab-564145745b9b","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,2,3,2,9,3,19,352,418,799,3677,783,6029
"131ecf76-b806-4557-b2c0-183a418357ba","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,2,7,4,7,4,24,804,2353,1271,2523,2516,9467
"9560482a-f0a3-4f68-a311-03d22aedbd05","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,5,5,4,3,5,22,1036,903,1013,1487,1492,5931
"10e732f6-9a6a-474a-82e2-a4060fc8dffe","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,2,5,5,14,6,32,1376,996,1617,9580,1184,14753
"646465ef-0ad6-44cc-bd31-de24e1487943","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,11,20,14,7,4,56,4692,11957,7436,4169,697,28951
"aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,4,9,9,13,4,39,972,2528,3608,5460,1503,14071
"9610f0dd-ff9f-4bd4-b311-459a04f965ca","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,2,4,1,6,2,15,940,1325,268,3213,593,6339
"df6523cd-3270-4298-8d6f-00aa8e9455e6","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,3,5,9,6,2,25,992,1939,5001,2301,665,10898
"54c68134-2c2a-4f2e-974b-32310830af0e","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,4,6,2,1,1,14,1108,1490,1096,800,263,4757
